type,date(yyyyMMddHHmmss),author,latitude,longitude, location,major_event,sentiment,message
mbdata,2.01401E+13,NewsOnlineToday,,,,,,Abila Police negotiating with gunmen for peaceful solution #Abila
mbdata,2.01401E+13,KronosQuoth,,,,,,The meaning of life is to find your gift. The purpose of life is to give it away.  #POKRally #HI
mbdata,2.01401E+13,rrWine,,,,,,RT @megaMan probably not getting anywhere #TAG
mbdata,2.01401E+13,megaMan,,,,,,Police have someone talking to van guys  #TAG
mbdata,2.01401E+13,megaMan,,,,,,Negoitator?  #TAG
mbdata,2.01401E+13,FriendsOfKronos,,,,,,shoot first ask questions later #POK #terror
mbdata,2.01401E+13,jenny90210,,,,,,OMG going to the grocery store and pople are being shot
mbdata,2.01401E+13,protoGuy,,,,,,"comeon dude, give up to the cops!"
mbdata,2.01401E+13,megaMan,,,,,,Can't hear words - van guy sounds mad #TAG
mbdata,2.01401E+13,Officia1AbilaPost,,,,,,Top cruise destinations - where does #Abila rank?  smad.co.kronos/20cn8389
mbdata,2.01401E+13,SiaradSea,,,,,,That was intense! #time4wine
ccdata,2.01401E+13,,,,N. Polvo St / N. Anntigonou St,,,VEHICLE ACCIDENT-REPORT
mbdata,2.01401E+13,KronosQuoth,,,,,,Knowledge is being aware of what you can do. Wisdom is knowing when not to do it.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.  #KronosStar #POKRally"
mbdata,2.01401E+13,KronosQuoth,,,,,,I am not a product of my circumstances. I am a product of my decisions.  #KronosStar #POKRally
mbdata,2.01401E+13,KronosQuoth,,,,,,"You may be disappointed if you fail, but you are doomed if you dont try.  #KronosStar #POKRally"
mbdata,2.01401E+13,partyon,,,,,,Guess I'll wait on picking up some milk
ccdata,2.01401E+13,,,,N. Pilau St / N. Arkadiou St,,,CHECK ON HAZARD
mbdata,2.01401E+13,microBanana,,,,,,RT @FriendsOfKronos why talk? take em down! #POK
mbdata,2.01401E+13,henri,,,,,,RT @Sara_Nespola I think i see people coming out the back of the General Grocer
ccdata,2.01401E+13,,,,2203 N. Wenna St,,,ALARM-SECURE NO CRIME
mbdata,2.01401E+13,lordWally,,,,,,RT @CentralBulletin paramedics take injured firefighter to hospital #Abila #CentralBulletin
mbdata,2.01401E+13,SiaradSea,,,,,,Talking to cops
mbdata,2.01401E+13,ninjabob,,,,,,RT @AbilaPost paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,worldWatcher,,,,,,RT @GreyCatCollectibles Need rest - the stress is killing me. My pictures... grandma's recipes... pictures of Timmy... my harpsichord
mbdata,2.01401E+13,soup4u,,,,,,RT @KronosStar Police have requested that the public stay away from the hostage scene near Alexandrias & Ithakis. #KronosStar
mbdata,2.01401E+13,rrWine,,,,,,RT @KronosStar Police have requested that the public stay away from the hostage scene near Alexandrias & Ithakis. #KronosStar
mbdata,2.01401E+13,zengardener,,,,,,RT @KronosStar Police have requested that the public stay away from the hostage scene near Alexandrias & Ithakis. #KronosStar
mbdata,2.01401E+13,KronosQuoth,,,,,,If you're going through hell keep going.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,I am not a product of my circumstances. I am a product of my decisions.  #KronosStar #POKRally
mbdata,2.01401E+13,vonneka,,,,,,RT @HomelandIlluminations APD is negotiating with gunmen for peaceful solution.
mbdata,2.01401E+13,cleaningFish,,,,,,Come on down for the tournament! #pok #er
mbdata,2.01401E+13,hennyhenhendrix,36.057,24.892,,,,they seemed really interested in where that van came from
mbdata,2.01401E+13,brontes_riff,,,,,,Step into my parlor said the police state to the fly
mbdata,2.01401E+13,protoGuy,,,,,,cops are helping poeple from carlys coffee
mbdata,2.01401E+13,megaMan,,,,,,Been livecasting this for about 1/2 hour - not sure how it will end  #TAG
mbdata,2.01401E+13,AbilaPost,,,,,,#APD are interviewing evacuees from businesses surrounding the gelatogalore standoff #AbilaPost
mbdata,2.01401E+13,CentralBulletin,,,,,,negotiations begin between shooter and police #Abila #CentralBulletin
mbdata,2.01401E+13,KronosQuoth,,,,,,"Just when the caterpillar thought the world was ending, he turned into a butterfly.  #POKRally #HI"
mbdata,2.01401E+13,sarajane,,,,,,RT @AbilaPoliceDepartment We're asking the public to stay away from the corner of Alexandrias & Ithakis while we resolve this emerging issue
mbdata,2.01401E+13,luvMyPants,,,,,,RT @sofitees mom im ok cops r here dont worry im across the street but safe
mbdata,2.01401E+13,brain448,,,,,,RT @CentralBulletin paramedics take injured firefighter to hospital #Abila #CentralBulletin
mbdata,2.01401E+13,sithLordJames,,,,,,RT @CentralBulletin paramedics take injured firefighter to hospital #Abila #CentralBulletin
mbdata,2.01401E+13,KronosQuoth,,,,,,Don't let what you cannot do interfere with what you can do.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,What seems to us as bitter trials are often blessings in disguise. #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,"You cant use up creativity.  The more you use, the more you have.  #KronosStar #POKRally"
mbdata,2.01401E+13,KronosQuoth,,,,,,Life shrinks or expands in proportion to ones courage.  #KronosStar #POKRally
mbdata,2.01401E+13,farmboy,,,,,,RT @NewsOnlineToday Injured firefighter in Dancing Dolphin fire in Abila. #NewsOnline
mbdata,2.01401E+13,BlueVelvet,,,,,,RT @NewsOnlineToday Injured firefighter in Dancing Dolphin fire in Abila. #NewsOnline
mbdata,2.01401E+13,henri,,,,,,RT @HomelandIlluminations APD is negotiating with gunmen for peaceful solution.
mbdata,2.01401E+13,pinky,,,,,,RT @CentralBulletin negotiations begin between shooter and police #Abila #CentralBulletin
mbdata,2.01401E+13,KronosQuoth,,,,,,Real difficulties can be overcome; it is only the imaginary ones that are unconquerable.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,"People often say that motivation doesnt last. Well, neither does bathing.  Thats why we recommend it daily.  #KronosStar #POKRally"
mbdata,2.01401E+13,farmboy,,,,,,RT @Officia1AbilaPost Top cruise destinations - where does #Abila rank?  smad.co.kronos/20cn8389
mbdata,2.01401E+13,Clevvah4Evah,,,,,,Dont loose your way in the dark going home #POK #Rally #Grammar
mbdata,2.01401E+13,KronosQuoth,,,,,,You've got to get up every morning with determination if you're going to go to bed with satisfaction.  #POKRally #HI
mbdata,2.01401E+13,Clevvah4Evah,,,,,,My boss just made a 360 on his last decision! #POK #Rally #Grammar
mbdata,2.01401E+13,KronosQuoth,,,,,,The two most important days in your life are the day you are born and the day you find out why.  #KronosStar #POKRally
mbdata,2.01401E+13,vetsRock,,,,,,RT @hennyhenhendrix police just knocked on my door about the car!
mbdata,2.01401E+13,microBanana,,,,,,RT @MarcusDrymiau aw dang its a hostage thing #definitelygonnabelate
mbdata,2.01401E+13,jgrobannne,,,,,,RT @roger_roger still here
mbdata,2.01401E+13,ourcountryourrights,,,,,,rally is breaking up - peacefully tonight but next time... #POK
mbdata,2.01401E+13,FriendsOfKronos,,,,,,its a standoff what do you know? cops dont do anything at rally they dont do anything at shooting #POK
mbdata,2.01401E+13,protoGuy,,,,,,i could use a coffee
mbdata,2.01401E+13,megaMan,,,,,,@ben Im still behind the pole and a trashbin #TAG
mbdata,2.01401E+13,roger_roger,,,,,,WTF are the cops doing out there? just shoot them already
mbdata,2.01401E+13,sofitees,36.059,24.857,,,,should got another coffeee this is going to take a long time #standoff
mbdata,2.01401E+13,KronosQuoth,,,,,,Nothing in the world is more common than unsuccessful people with talent.  #POKRally #HI
mbdata,2.01401E+13,megaMan,,,,,,@george I dont know which are from the Post - are they @Post?  #TAG
